Gender,Sociodemographic,Indicators,Q4_2023,Q4_2024
,,Confidence in the Canadian media rating of 1 or 2 ,28.8,30.9
,,Confidence in the Canadian media rating of 3 ,35.8,34.6
,,Confidence in the Canadian media rating of 4 or 5 ,35.4,34.5
,Immigrants ,Confidence in the police rating of 1 or 2 ,12,14.2
,,Confidence in the police rating of 3 ,23.6,22.7
,,Confidence in the police rating of 4 or 5 ,64.4,63.2
,,Confidence in the justice system and courts rating of 1 or 2 ,15,15.8
,,Confidence in the justice system and courts rating of 3 ,25.8,25.7
,,Confidence in the justice system and courts rating of 4 or 5 ,59.2,58.5
,,Confidence in the school system rating of 1 or 2 ,16.8,16.3
,,Confidence in the school system rating of 3 ,31.4,30.8
,,Confidence in the school system rating of 4 or 5 ,51.8,52.9
,,Confidence in the Federal Parliament rating of 1 or 2 ,27.5,29.4
,,Confidence in the Federal Parliament rating of 3 ,33,32.5
,,Confidence in the Federal Parliament rating of 4 or 5 ,39.5,38.1
,,Confidence in the Canadian media rating of 1 or 2 ,24,27.4
,,Confidence in the Canadian media rating of 3 ,36.4,33.2
,,Confidence in the Canadian media rating of 4 or 5 ,39.6,39.4
,"Total, urban and rural areas ",Confidence in the police rating of 1 or 2 ,12.7,14.1
,,Confidence in the police rating of 3 ,22.2,22.4
,,Confidence in the police rating of 4 or 5 ,65.1,63.4
,,Confidence in the justice system and courts rating of 1 or 2 ,21.6,23.5
,,Confidence in the justice system and courts rating of 3 ,29.8,28.2
,,Confidence in the justice system and courts rating of 4 or 5 ,48.6,48.2
,,Confidence in the school system rating of 1 or 2 ,22.2,21.1
,,Confidence in the school system rating of 3 ,33,33.8
,,Confidence in the school system rating of 4 or 5 ,44.8,45
,,Confidence in the Federal Parliament rating of 1 or 2 ,39.4,40
,,Confidence in the Federal Parliament rating of 3 ,32.5,31.8
,,Confidence in the Federal Parliament rating of 4 or 5 ,28.1,28.3
,,Confidence in the Canadian media rating of 1 or 2 ,27.3,29.7
,,Confidence in the Canadian media rating of 3 ,35.9,34.1
,,Confidence in the Canadian media rating of 4 or 5 ,36.7,36.2
,Urban areas ,Confidence in the police rating of 1 or 2 ,13.1,14.6
,,Confidence in the police rating of 3 ,22.4,22.5
,,Confidence in the police rating of 4 or 5 ,64.5,62.9
