Gender,Sociodemographic ,Indicators,Q4_2024
,,Confidence in the Canadian media rating of 1 or 2 4,19.2
,,Confidence in the Canadian media rating of 3 4,34.7
,,Confidence in the Canadian media rating of 4 or 5 4,46
,"Total, by immigrant status",Confidence in the police rating of 1 or 2 4,14.1
,,Confidence in the police rating of 3 4,22.4
,,Confidence in the police rating of 4 or 5 4,63.4
,,Confidence in the justice system and courts rating of 1 or 2 4,23.5
,,Confidence in the justice system and courts rating of 3 4,28.2
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,21.1
,,Confidence in the school system rating of 3 4,33.8
,,Confidence in the school system rating of 4 or 5 4,45
,,Confidence in the Federal Parliament rating of 1 or 2 4,40
,,Confidence in the Federal Parliament rating of 3 4,31.8
,,Confidence in the Federal Parliament rating of 4 or 5 4,28.3
,,Confidence in the Canadian media rating of 1 or 2 4,29.7
,,Confidence in the Canadian media rating of 3 4,34.1
,,Confidence in the Canadian media rating of 4 or 5 4,36.2
,"Total, urban and rural areas ",Confidence in the police rating of 1 or 2 4,14.1
,,Confidence in the police rating of 3 4,22.4
,,Confidence in the police rating of 4 or 5 4,63.4
,,Confidence in the justice system and courts rating of 1 or 2 4,23.5
,,Confidence in the justice system and courts rating of 3 4,28.2
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,21.1
,,Confidence in the school system rating of 3 4,33.8
,,Confidence in the school system rating of 4 or 5 4,45
,,Confidence in the Federal Parliament rating of 1 or 2 4,40
,,Confidence in the Federal Parliament rating of 3 4,31.8
,,Confidence in the Federal Parliament rating of 4 or 5 4,28.3
,,Confidence in the Canadian media rating of 1 or 2 4,29.7
,,Confidence in the Canadian media rating of 3 4,34.1
,,Confidence in the Canadian media rating of 4 or 5 4,36.2
Men,"Total, 15 years and over",Confidence in the police rating of 1 or 2 4,15.1
,,Confidence in the police rating of 3 4,23.4
,,Confidence in the police rating of 4 or 5 4,61.5
,,Confidence in the justice system and courts rating of 1 or 2 4,24.7
,,Confidence in the justice system and courts rating of 3 4,27.1
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,23
,,Confidence in the school system rating of 3 4,31.5
,,Confidence in the school system rating of 4 or 5 4,45.5
,,Confidence in the Federal Parliament rating of 1 or 2 4,43.2
,,Confidence in the Federal Parliament rating of 3 4,29.5
,,Confidence in the Federal Parliament rating of 4 or 5 4,27.3
,,Confidence in the Canadian media rating of 1 or 2 4,33.6
,,Confidence in the Canadian media rating of 3 4,32.7
,,Confidence in the Canadian media rating of 4 or 5 4,33.7
,15 to 24 years,Confidence in the police rating of 1 or 2 4,21.6
,,Confidence in the police rating of 3 4,25.3
,,Confidence in the police rating of 4 or 5 4,53.1
,,Confidence in the justice system and courts rating of 1 or 2 4,28.6
,,Confidence in the justice system and courts rating of 3 4,28.5
,,Confidence in the justice system and courts rating of 4 or 5 4,42.9
,,Confidence in the school system rating of 1 or 2 4,31.5
,,Confidence in the school system rating of 3 4,27.1
,,Confidence in the school system rating of 4 or 5 4,41.4
,,Confidence in the Federal Parliament rating of 1 or 2 4,37.2
,,Confidence in the Federal Parliament rating of 3 4,34.5
,,Confidence in the Federal Parliament rating of 4 or 5 4,28.2
,,Confidence in the Canadian media rating of 1 or 2 4,35.3
,,Confidence in the Canadian media rating of 3 4,33.9
,,Confidence in the Canadian media rating of 4 or 5 4,30.9
,25 to 34 years,Confidence in the police rating of 1 or 2 4,18.2
,,Confidence in the police rating of 3 4,26.8
,,Confidence in the police rating of 4 or 5 4,54.9
,,Confidence in the justice system and courts rating of 1 or 2 4,28.7
,,Confidence in the justice system and courts rating of 3 4,24
,,Confidence in the justice system and courts rating of 4 or 5 4,47.2
,,Confidence in the school system rating of 1 or 2 4,24
,,Confidence in the school system rating of 3 4,33.4
,,Confidence in the school system rating of 4 or 5 4,42.6
,,Confidence in the Federal Parliament rating of 1 or 2 4,47.3
,,Confidence in the Federal Parliament rating of 3 4,27.9
,,Confidence in the Federal Parliament rating of 4 or 5 4,24.8
,,Confidence in the Canadian media rating of 1 or 2 4,42.1
,,Confidence in the Canadian media rating of 3 4,33.6
,,Confidence in the Canadian media rating of 4 or 5 4,24.4
,35 to 44 years,Confidence in the police rating of 1 or 2 4,16.7
,,Confidence in the police rating of 3 4,27.4
,,Confidence in the police rating of 4 or 5 4,55.9
,,Confidence in the justice system and courts rating of 1 or 2 4,26.1
,,Confidence in the justice system and courts rating of 3 4,26.3
,,Confidence in the justice system and courts rating of 4 or 5 4,47.6
,,Confidence in the school system rating of 1 or 2 4,22.6
,,Confidence in the school system rating of 3 4,32
,,Confidence in the school system rating of 4 or 5 4,45.4
,,Confidence in the Federal Parliament rating of 1 or 2 4,47.2
,,Confidence in the Federal Parliament rating of 3 4,25.6
,,Confidence in the Federal Parliament rating of 4 or 5 4,27.2
,,Confidence in the Canadian media rating of 1 or 2 4,36.4
,,Confidence in the Canadian media rating of 3 4,32.7
,,Confidence in the Canadian media rating of 4 or 5 4,30.8
,45 to 54 years,Confidence in the police rating of 1 or 2 4,16
,,Confidence in the police rating of 3 4,24
,,Confidence in the police rating of 4 or 5 4,59.9
,,Confidence in the justice system and courts rating of 1 or 2 4,23.7
,,Confidence in the justice system and courts rating of 3 4,31.1
,,Confidence in the justice system and courts rating of 4 or 5 4,45.3
,,Confidence in the school system rating of 1 or 2 4,25.1
,,Confidence in the school system rating of 3 4,33.4
,,Confidence in the school system rating of 4 or 5 4,41.5
,,Confidence in the Federal Parliament rating of 1 or 2 4,47.5
,,Confidence in the Federal Parliament rating of 3 4,22.9
,,Confidence in the Federal Parliament rating of 4 or 5 4,29.6
,,Confidence in the Canadian media rating of 1 or 2 4,36.3
,,Confidence in the Canadian media rating of 3 4,29.4
,,Confidence in the Canadian media rating of 4 or 5 4,34.3
,55 to 64 years,Confidence in the police rating of 1 or 2 4,11.3
,,Confidence in the police rating of 3 4,19.4
,,Confidence in the police rating of 4 or 5 4,69.4
,,Confidence in the justice system and courts rating of 1 or 2 4,21.3
,,Confidence in the justice system and courts rating of 3 4,28.8
,,Confidence in the justice system and courts rating of 4 or 5 4,49.9
,,Confidence in the school system rating of 1 or 2 4,18.6
,,Confidence in the school system rating of 3 4,32.6
,,Confidence in the school system rating of 4 or 5 4,48.8
,,Confidence in the Federal Parliament rating of 1 or 2 4,43.9
,,Confidence in the Federal Parliament rating of 3 4,31.5
,,Confidence in the Federal Parliament rating of 4 or 5 4,24.5
,,Confidence in the Canadian media rating of 1 or 2 4,30.1
,,Confidence in the Canadian media rating of 3 4,32.8
,,Confidence in the Canadian media rating of 4 or 5 4,37
,65 to 74 years,Confidence in the police rating of 1 or 2 4,9.7
,,Confidence in the police rating of 3 4,19
,,Confidence in the police rating of 4 or 5 4,71.3
,,Confidence in the justice system and courts rating of 1 or 2 4,22.3
,,Confidence in the justice system and courts rating of 3 4,24.8
,,Confidence in the justice system and courts rating of 4 or 5 4,52.9
,,Confidence in the school system rating of 1 or 2 4,20.4
,,Confidence in the school system rating of 3 4,31.9
,,Confidence in the school system rating of 4 or 5 4,47.7
,,Confidence in the Federal Parliament rating of 1 or 2 4,39.8
,,Confidence in the Federal Parliament rating of 3 4,34.6
,,Confidence in the Federal Parliament rating of 4 or 5 4,25.5
,,Confidence in the Canadian media rating of 1 or 2 4,24.8
,,Confidence in the Canadian media rating of 3 4,31
,,Confidence in the Canadian media rating of 4 or 5 4,44.2
,75 years and over,Confidence in the police rating of 1 or 2 4,6.5
,,Confidence in the police rating of 3 4,17.4
,,Confidence in the police rating of 4 or 5 4,76.1
,,Confidence in the justice system and courts rating of 1 or 2 4,17.2
,,Confidence in the justice system and courts rating of 3 4,26
,,Confidence in the justice system and courts rating of 4 or 5 4,56.8
,,Confidence in the school system rating of 1 or 2 4,13.3
,,Confidence in the school system rating of 3 4,29.2
,,Confidence in the school system rating of 4 or 5 4,57.4
,,Confidence in the Federal Parliament rating of 1 or 2 4,33.9
,,Confidence in the Federal Parliament rating of 3 4,31.9
,,Confidence in the Federal Parliament rating of 4 or 5 4,34.3
,,Confidence in the Canadian media rating of 1 or 2 4,21.4
,,Confidence in the Canadian media rating of 3 4,36.3
,,Confidence in the Canadian media rating of 4 or 5 4,42.3
,"Total, by immigrant status",Confidence in the police rating of 1 or 2 4,15.1
,,Confidence in the police rating of 3 4,23.4
,,Confidence in the police rating of 4 or 5 4,61.5
,,Confidence in the justice system and courts rating of 1 or 2 4,24.7
,,Confidence in the justice system and courts rating of 3 4,27.1
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,23
,,Confidence in the school system rating of 3 4,31.5
,,Confidence in the school system rating of 4 or 5 4,45.5
,,Confidence in the Federal Parliament rating of 1 or 2 4,43.2
,,Confidence in the Federal Parliament rating of 3 4,29.5
,,Confidence in the Federal Parliament rating of 4 or 5 4,27.3
,,Confidence in the Canadian media rating of 1 or 2 4,33.6
,,Confidence in the Canadian media rating of 3 4,32.7
,,Confidence in the Canadian media rating of 4 or 5 4,33.7
,"Total, urban and rural areas ",Confidence in the police rating of 1 or 2 4,15.1
,,Confidence in the police rating of 3 4,23.4
,,Confidence in the police rating of 4 or 5 4,61.5
,,Confidence in the justice system and courts rating of 1 or 2 4,24.7
,,Confidence in the justice system and courts rating of 3 4,27.1
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,23
,,Confidence in the school system rating of 3 4,31.5
,,Confidence in the school system rating of 4 or 5 4,45.5
,,Confidence in the Federal Parliament rating of 1 or 2 4,43.2
,,Confidence in the Federal Parliament rating of 3 4,29.5
,,Confidence in the Federal Parliament rating of 4 or 5 4,27.3
,,Confidence in the Canadian media rating of 1 or 2 4,33.6
,,Confidence in the Canadian media rating of 3 4,32.7
,,Confidence in the Canadian media rating of 4 or 5 4,33.7
Women,"Total, 15 years and over",Confidence in the police rating of 1 or 2 4,13.2
,,Confidence in the police rating of 3 4,21.5
,,Confidence in the police rating of 4 or 5 4,65.4
,,Confidence in the justice system and courts rating of 1 or 2 4,22.4
,,Confidence in the justice system and courts rating of 3 4,29.4
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,19.3
,,Confidence in the school system rating of 3 4,36.1
,,Confidence in the school system rating of 4 or 5 4,44.6
,,Confidence in the Federal Parliament rating of 1 or 2 4,36.8
,,Confidence in the Federal Parliament rating of 3 4,34
,,Confidence in the Federal Parliament rating of 4 or 5 4,29.2
,,Confidence in the Canadian media rating of 1 or 2 4,25.9
,,Confidence in the Canadian media rating of 3 4,35.5
,,Confidence in the Canadian media rating of 4 or 5 4,38.6
,15 to 24 years,Confidence in the police rating of 1 or 2 4,19.9
,,Confidence in the police rating of 3 4,19.9
,,Confidence in the police rating of 4 or 5 4,60.2
,,Confidence in the justice system and courts rating of 1 or 2 4,23.4
,,Confidence in the justice system and courts rating of 3 4,28.5
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,20
,,Confidence in the school system rating of 3 4,38.1
,,Confidence in the school system rating of 4 or 5 4,42
,,Confidence in the Federal Parliament rating of 1 or 2 4,33.6
,,Confidence in the Federal Parliament rating of 3 4,32
,,Confidence in the Federal Parliament rating of 4 or 5 4,34.4
,,Confidence in the Canadian media rating of 1 or 2 4,24.5
,,Confidence in the Canadian media rating of 3 4,36.7
,,Confidence in the Canadian media rating of 4 or 5 4,38.7
,25 to 34 years,Confidence in the police rating of 1 or 2 4,22.6
,,Confidence in the police rating of 3 4,27.2
,,Confidence in the police rating of 4 or 5 4,50.2
,,Confidence in the justice system and courts rating of 1 or 2 4,30.8
,,Confidence in the justice system and courts rating of 3 4,27.2
,,Confidence in the justice system and courts rating of 4 or 5 4,42
,,Confidence in the school system rating of 1 or 2 4,27.2
,,Confidence in the school system rating of 3 4,36
,,Confidence in the school system rating of 4 or 5 4,36.8
,,Confidence in the Federal Parliament rating of 1 or 2 4,43.2
,,Confidence in the Federal Parliament rating of 3 4,32.5
,,Confidence in the Federal Parliament rating of 4 or 5 4,24.3
,,Confidence in the Canadian media rating of 1 or 2 4,31.8
,,Confidence in the Canadian media rating of 3 4,35.9
,,Confidence in the Canadian media rating of 4 or 5 4,32.3
,35 to 44 years,Confidence in the police rating of 1 or 2 4,14
,,Confidence in the police rating of 3 4,26.3
,,Confidence in the police rating of 4 or 5 4,59.7
,,Confidence in the justice system and courts rating of 1 or 2 4,19
,,Confidence in the justice system and courts rating of 3 4,33.2
,,Confidence in the justice system and courts rating of 4 or 5 4,47.8
,,Confidence in the school system rating of 1 or 2 4,16.9
,,Confidence in the school system rating of 3 4,38.2
,,Confidence in the school system rating of 4 or 5 4,44.9
,,Confidence in the Federal Parliament rating of 1 or 2 4,34.2
,,Confidence in the Federal Parliament rating of 3 4,39.1
,,Confidence in the Federal Parliament rating of 4 or 5 4,26.7
,,Confidence in the Canadian media rating of 1 or 2 4,26.6
,,Confidence in the Canadian media rating of 3 4,38.2
,,Confidence in the Canadian media rating of 4 or 5 4,35.2
,45 to 54 years,Confidence in the police rating of 1 or 2 4,11
,,Confidence in the police rating of 3 4,19.5
,,Confidence in the police rating of 4 or 5 4,69.5
,,Confidence in the justice system and courts rating of 1 or 2 4,22.7
